cat_url,product_url,category,side_bar_item,side_bar_url
https://www.tops.co.th/en/campaign/promotion-otop-16jan-28feb-2025/healthiful,https://www.tops.co.th/en/otop-doikham-mixed-berry-juice-98percent-1000ml-8850773510341,Healthiful,OTOP,https://www.tops.co.th/en/campaign/promotion-otop-16jan-28feb-2025.html
https://www.tops.co.th/en/campaign/promotion-otop-16jan-28feb-2025/healthiful,https://www.tops.co.th/en/otop-doikham-guava-juice-98percent-1000ml-8850773510280,Healthiful,OTOP,https://www.tops.co.th/en/campaign/promotion-otop-16jan-28feb-2025.html
https://www.tops.co.th/en/campaign/promotion-otop-16jan-28feb-2025/healthiful,https://www.tops.co.th/en/otop-doikham-passion-fruit-squash-500ml-8850773530035,Healthiful,OTOP,https://www.tops.co.th/en/campaign/promotion-otop-16jan-28feb-2025.html
https://www.tops.co.th/en/campaign/promotion-otop-16jan-28feb-2025/healthiful,https://www.tops.co.th/en/otop-doikhom-strawberry-squash-500ml-8850773530028,Healthiful,OTOP,https://www.tops.co.th/en/campaign/promotion-otop-16jan-28feb-2025.html
https://www.tops.co.th/en/campaign/promotion-otop-16jan-28feb-2025/healthiful,https://www.tops.co.th/en/otop-doi-kham-soya-milk-powder-400g-8850773107046,Healthiful,OTOP,https://www.tops.co.th/en/campaign/promotion-otop-16jan-28feb-2025.html
https://www.tops.co.th/en/campaign/promotion-otop-16jan-28feb-2025/healthiful,https://www.tops.co.th/en/otop-doi-kham-instant-lemon-grass-drink-10g-12sachets-8850773107114,Healthiful,OTOP,https://www.tops.co.th/en/campaign/promotion-otop-16jan-28feb-2025.html
https://www.tops.co.th/en/campaign/promotion-otop-16jan-28feb-2025/healthiful,https://www.tops.co.th/en/otop-doikham-dried-strawberry-140g-8850773550279,Healthiful,OTOP,https://www.tops.co.th/en/campaign/promotion-otop-16jan-28feb-2025.html
https://www.tops.co.th/en/campaign/promotion-otop-16jan-28feb-2025/healthiful,https://www.tops.co.th/en/otop-doikham-dehydrated-chewy-tasty-mulberry-25g-8850773550750,Healthiful,OTOP,https://www.tops.co.th/en/campaign/promotion-otop-16jan-28feb-2025.html
https://www.tops.co.th/en/campaign/promotion-otop-16jan-28feb-2025/healthiful,https://www.tops.co.th/en/otop-doi-kham-mango-with-passion-fruit-spread-jam-220g-8850773570123,Healthiful,OTOP,https://www.tops.co.th/en/campaign/promotion-otop-16jan-28feb-2025.html
https://www.tops.co.th/en/campaign/promotion-otop-16jan-28feb-2025/healthiful,https://www.tops.co.th/en/otop-doi-kham-peach-spread-jam-220g-8850773570161,Healthiful,OTOP,https://www.tops.co.th/en/campaign/promotion-otop-16jan-28feb-2025.html
https://www.tops.co.th/en/campaign/promotion-otop-16jan-28feb-2025/promotion,https://www.tops.co.th/en/otop-thaweephan-rice-cracker-original-flavour-130g-8857102570328,Promotion,OTOP,https://www.tops.co.th/en/campaign/promotion-otop-16jan-28feb-2025.html
https://www.tops.co.th/en/campaign/only-at-tops/fruit-and-vegetables,https://www.tops.co.th/en/my-choice-golden-banana-pack-8853474047505,Fruits & Vegetables,Only At Tops,https://www.tops.co.th/en/campaign/only-at-tops.html
https://www.tops.co.th/en/campaign/only-at-tops/fruit-and-vegetables,https://www.tops.co.th/en/my-choice-passionfruit-pack-8853474023929,Fruits & Vegetables,Only At Tops,https://www.tops.co.th/en/campaign/only-at-tops.html
https://www.tops.co.th/en/campaign/only-at-tops/fruit-and-vegetables,https://www.tops.co.th/en/my-chioce-thai-avocado-pack-1-kg-per-pack-3-5-pcs-0000024967372,Fruits & Vegetables,Only At Tops,https://www.tops.co.th/en/campaign/only-at-tops.html
https://www.tops.co.th/en/campaign/only-at-tops/fruit-and-vegetables,https://www.tops.co.th/en/my-choice-chinese-fuji-apple-0218705000007,Fruits & Vegetables,Only At Tops,https://www.tops.co.th/en/campaign/only-at-tops.html
https://www.tops.co.th/en/campaign/only-at-tops/fruit-and-vegetables,https://www.tops.co.th/en/my-choice-sainamphung-orange-pack-8853474017522,Fruits & Vegetables,Only At Tops,https://www.tops.co.th/en/campaign/only-at-tops.html
https://www.tops.co.th/en/campaign/only-at-tops/fruit-and-vegetables,https://www.tops.co.th/en/my-choice-dragon-fruit-0219601000009,Fruits & Vegetables,Only At Tops,https://www.tops.co.th/en/campaign/only-at-tops.html
https://www.tops.co.th/en/campaign/only-at-tops/fruit-and-vegetables,https://www.tops.co.th/en/gi-my-choice-tabtimsiam-special-pomelo-8853474040865,Fruits & Vegetables,Only At Tops,https://www.tops.co.th/en/campaign/only-at-tops.html
https://www.tops.co.th/en/campaign/only-at-tops/fruit-and-vegetables,https://www.tops.co.th/en/my-choice-thanathorn-orange-pack-8853474017539,Fruits & Vegetables,Only At Tops,https://www.tops.co.th/en/campaign/only-at-tops.html
https://www.tops.co.th/en/campaign/only-at-tops/fruit-and-vegetables,https://www.tops.co.th/en/my-choice-red-cherry-1-kg-0218720000006,Fruits & Vegetables,Only At Tops,https://www.tops.co.th/en/campaign/only-at-tops.html
https://www.tops.co.th/en/campaign/only-at-tops/fruit-and-vegetables,https://www.tops.co.th/en/my-choice-red-cherry-450g-0000020670955,Fruits & Vegetables,Only At Tops,https://www.tops.co.th/en/campaign/only-at-tops.html
https://www.tops.co.th/en/campaign/only-at-tops/fruit-and-vegetables,https://www.tops.co.th/en/my-choice-holland-papaya-0217035000008,Fruits & Vegetables,Only At Tops,https://www.tops.co.th/en/campaign/only-at-tops.html
https://www.tops.co.th/en/campaign/only-at-tops/fruit-and-vegetables,https://www.tops.co.th/en/my-choice-golden-pear-0218712000007,Fruits & Vegetables,Only At Tops,https://www.tops.co.th/en/campaign/only-at-tops.html
https://www.tops.co.th/en/campaign/only-at-tops/fruit-and-vegetables,https://www.tops.co.th/en/my-choice-sonya-watermelon-0218349000005,Fruits & Vegetables,Only At Tops,https://www.tops.co.th/en/campaign/only-at-tops.html
https://www.tops.co.th/en/campaign/only-at-tops/fruit-and-vegetables,https://www.tops.co.th/en/my-choice-snow-pear-0218733000000,Fruits & Vegetables,Only At Tops,https://www.tops.co.th/en/campaign/only-at-tops.html
https://www.tops.co.th/en/campaign/only-at-tops/fruit-and-vegetables,https://www.tops.co.th/en/my-chioce-gimju-guava-0218244000001,Fruits & Vegetables,Only At Tops,https://www.tops.co.th/en/campaign/only-at-tops.html
